timestamp,pupil_left,pupil_right,validity_left,validity_right,event
9386947.35,5.37906,4.97798,0,0,picture
9386964.016,5.38724,4.98051,0,0,picture
9386980.683,5.39032,4.98499,0,0,picture
9386997.35,5.39549,4.99123,0,0,picture
9387014.016,5.40297,4.99434,0,0,picture
9387030.683,5.4075,4.99977,0,0,picture
9387047.35,5.41389,5.00166,0,0,picture
9387064.016,5.48129,5.02773,0,0,picture
9387080.683,5.43335,4.98326,0,0,picture
9387097.35,5.43825,4.96576,0,0,picture
9387114.02078125,-1,-1,4,4,picture
9387130.6915625,-1,-1,4,4,picture
9387147.36234375,-1,-1,4,4,picture
9387164.033125,-1,-1,4,4,picture
9387180.70390625,-1,-1,4,4,picture
9387197.3746875,-1,-1,4,4,picture
9387214.04546875,-1,-1,4,4,picture
9387230.71625,-1,-1,4,4,picture
9387247.38703125,-1,-1,4,4,picture
9387264.0578125,-1,-1,4,4,picture
9387280.72859375,-1,-1,4,4,picture
9387297.399375,-1,-1,4,4,picture
9387314.07015625,-1,-1,4,4,picture
9387330.7409375,-1,-1,4,4,picture
9387347.41171875,-1,-1,4,4,picture
9387364.0825,-1,-1,4,4,picture
9387380.75328125,-1,-1,4,4,picture
9387397.4240625,-1,-1,4,4,picture
9387414.09484375,-1,-1,4,4,picture
9387430.765625,-1,-1,4,4,picture
9387447.43640625,-1,-1,4,4,picture
9387464.1071875,-1,-1,4,4,picture
9387480.77796875,-1,-1,4,4,picture
9387497.44875,-1,-1,4,4,picture
9387514.11953125,-1,-1,4,4,picture
9387530.7903125,-1,-1,4,4,picture
9387547.46109375,-1,-1,4,4,picture
9387564.131875,-1,-1,4,4,picture
9387580.80265625,-1,-1,4,4,picture
9387597.4734375,-1,-1,4,4,picture
9387614.14421875,-1,-1,4,4,picture
9387630.815,5.53352,5.08817,0,0,picture
9387647.481,5.53291,5.08194,0,0,picture
9387664.147,5.52983,5.07652,0,0,picture
9387680.814,5.5249,5.06134,0,0,picture
9387697.481,5.50989,5.05212,0,0,picture
9387714.147,5.49182,5.02725,0,0,picture
9387730.814,5.46632,4.98871,0,0,picture
9387747.481,5.43585,4.95343,0,0,picture
9387764.147,5.39799,4.91588,0,0,picture
9387780.814,5.37297,4.89224,0,0,picture
9387797.481,5.31033,4.83447,0,0,picture
9387814.147,5.26926,4.79164,0,0,picture
9387830.814,5.22385,4.74532,0,0,picture
9387847.481,5.17018,4.69292,0,0,picture
9387864.147,5.12463,4.64665,0,0,picture
9387880.814,5.07472,4.59515,0,0,picture
9387897.481,5.02615,4.54649,0,0,picture
9387914.147,4.9776,4.49992,0,0,picture
9387930.814,4.92975,4.45142,0,0,picture
9387947.481,4.88533,4.40613,0,0,picture
9387964.147,4.84003,4.36272,0,0,picture
